train_loss,val_loss,train_acc,val_acc,val_f1,learning_rate
1.599899044903842,1.5831400156021118,29.314285714285713,42.4,0.3562893702081772,0.0001
1.477823136069558,1.23549023270607,48.628571428571426,68.8,0.6787985002672335,0.0001
1.0954604040492664,0.8501657694578171,61.714285714285715,73.33333333333333,0.7234848382437018,0.0001
0.8690718737515536,0.7093886782725652,68.74285714285715,76.0,0.7505344173224404,0.0001
0.7363309811462055,0.6348228926459948,74.11428571428571,78.4,0.781558446636976,0.0001
0.6114912352778695,0.5466367999712626,78.57142857142857,80.26666666666667,0.8016502521296079,0.0001
0.43214705071666026,0.4674914628267288,84.4,82.4,0.8225590316227652,0.0001
0.31434131725267933,0.43897799650828045,89.77142857142857,84.0,0.838598826012212,0.0001
0.2345341529358517,0.43664083629846573,92.34285714285714,84.26666666666667,0.840320929916097,0.0001
0.18109551634300838,0.4131108100215594,94.05714285714286,86.13333333333334,0.8610052165959914,0.0001
0.1332154847004197,0.4207434232036273,96.34285714285714,86.93333333333334,0.868815196650813,0.0001
0.09070394807918505,0.4302562239269416,97.88571428571429,85.6,0.8543695581731283,0.0001
0.09182167811827226,0.4665288192530473,97.02857142857142,85.6,0.8552394253201522,0.0001
0.06273812153799967,0.4314860130349795,98.51428571428572,88.0,0.8794893547723882,0.0001
0.057568075694143774,0.4708217786004146,98.68571428571428,85.86666666666666,0.8583680523079245,0.0001
0.05262397277084264,0.4491016510874033,98.28571428571429,86.66666666666667,0.8665316321105795,0.0001
0.03419323524629528,0.4349693215141694,99.2,85.86666666666666,0.858811554778787,0.0001
0.051149417739361526,0.4799313296874364,98.62857142857143,88.0,0.8794341925524758,0.0001
0.031038132775574923,0.4666737460841735,99.25714285714285,88.0,0.8799198347113734,5e-05
0.02446571672335267,0.47305818274617195,99.48571428571428,88.26666666666667,0.882338691930744,5e-05
0.02772399413992058,0.4936449093123277,99.25714285714285,87.73333333333333,0.8764275483002816,5e-05
0.027687557308341968,0.5019504291315874,99.54285714285714,87.73333333333333,0.876771162477555,5e-05
0.026703201145441696,0.4923911752800147,99.31428571428572,87.46666666666667,0.873709893328941,5e-05
0.02312369686551392,0.49135677330195904,99.54285714285714,87.73333333333333,0.87684752367944,5e-05
0.03184681122233583,0.48262279977401096,99.25714285714285,88.0,0.8795464870958037,2.5e-05
0.016868747430006888,0.5028780785699686,99.77142857142857,88.26666666666667,0.8818163620501004,2.5e-05
0.021794383498755367,0.48945370006064576,99.42857142857143,88.0,0.879174076129922,2.5e-05
